Product ID	Product Name	Category	Selling Price (₹)	MRP (₹)	Discount (%)	Rating	Reviews	Stock	SKU	Short Description	Featured	Deal Product
1	Samsung Galaxy M14 5G	Mobiles	13210	15539	15	4	9162	145	AST-MOB-0001	Samsung Galaxy M14 5G available on ASTOMITY.	Yes	No
2	iQOO Z9 5G	Mobiles	13820	17279	20	4.6	22324	399	AST-MOB-0002	iQOO Z9 5G available on ASTOMITY.	Yes	No
3	OnePlus Nord CE	Mobiles	23080	27159	15	4.5	1191	35	AST-MOB-0003	OnePlus Nord CE available on ASTOMITY.	Yes	No
4	Redmi Note Series	Mobiles	8210	10949	25	4.2	19876	33	AST-MOB-0004	Redmi Note Series available on ASTOMITY.	Yes	No
5	Realme Narzo Series	Mobiles	11050	14739	25	4.6	23131	299	AST-MOB-0005	Realme Narzo Series available on ASTOMITY.	Yes	No
6	Motorola G Series	Mobiles	13940	18589	25	4.4	9265	434	AST-MOB-0006	Motorola G Series available on ASTOMITY.	Yes	No
7	POCO X Series	Mobiles	8900	11129	20	4.6	11299	162	AST-MOB-0007	POCO X Series available on ASTOMITY.	Yes	No
8	Vivo Y Series	Mobiles	10630	14179	25	4.8	11179	72	AST-MOB-0008	Vivo Y Series available on ASTOMITY.	Yes	No
9	OPPO A Series	Mobiles	8330	13889	40	4.1	11420	329	AST-MOB-0009	OPPO A Series available on ASTOMITY.	Yes	Yes
10	Nothing Phone Series	Mobiles	22870	25409	10	4.6	17721	83	AST-MOB-0010	Nothing Phone Series available on ASTOMITY.	Yes	No
11	CMF Phone Series	Mobiles	17640	20749	15	4.4	20749	336	AST-MOB-0011	CMF Phone Series available on ASTOMITY.	Yes	No
12	Google Pixel Series	Mobiles	44710	59619	25	4.6	1651	358	AST-MOB-0012	Google Pixel Series available on ASTOMITY.	Yes	No
13	Apple iPhone Series	Mobiles	54130	77329	30	4.8	7778	463	AST-MOB-0013	Apple iPhone Series available on ASTOMITY.	Yes	Yes
